序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
225,文化传媒概念,2635.49,-0.36,161.52,164.45,-2.93,197,国安股份,10.04,2.85
226,光伏概念,4854.11,-0.37,2254.13,2339.35,-85.22,596,晶升股份,20.01,80.44
227,柔性直流输电,1690.28,-0.37,292.87,322.59,-29.73,65,旭光电子,10.0,42.01
228,智能电网,4091.39,-0.38,782.51,813.06,-30.55,276,通合科技,10.14,38.88
229,数字乡村,1729.71,-0.39,146.56,153.08,-6.52,100,东方国信,20.03,18.7
230,宠物经济,1351.03,-0.4,52.82,59.06,-6.24,127,丹娜生物,20.95,41.97
231,家用电器,4184.74,-0.4,458.86,438.78,20.08,180,合锻智能,10.01,39.55
232,人造肉,1425.38,-0.41,15.76,17.24,-1.49,20,富祥股份,6.92,19.48
233,民营医院,1381.39,-0.41,127.8,158.02,-30.22,73,香江控股,10.15,3.58
234,钛白粉概念,1967.98,-0.43,20.32,21.61,-1.29,15,*ST亚振,5.0,61.27
235,高压氧舱,1060.51,-0.43,4.72,5.68,-0.95,11,国际医学,3.47,4.17
236,NFT概念,1581.51,-0.44,72.03,72.64,-0.61,71,华瓷股份,9.99,17.4
237,钒电池,1468.09,-0.46,67.9,84.06,-16.17,37,海亮股份,10.0,25.52
238,股权转让(并购重组),1123.24,-0.46,797.69,870.59,-72.89,916,晶升股份,20.01,80.44
239,共享单车,1070.58,-0.46,6.05,6.65,-0.61,13,中贝通信,3.91,25.22
240,福建自贸区,1616.01,-0.47,266.68,297.82,-31.14,127,中富通,10.49,18.75
241,三胎概念,2159.68,-0.48,89.29,95.76,-6.47,213,奥美医疗,9.97,9.82
242,电力物联网,2084.44,-0.49,96.23,102.89,-6.65,86,四方股份,5.31,74.63
243,拼多多概念,1646.16,-0.49,31.96,31.32,0.64,40,中恒电气,4.17,54.16
244,TOPCON电池,1263.74,-0.49,315.42,339.7,-24.27,82,帝科股份,10.43,86.2
245,储能,2695.34,-0.51,2420.31,2654.21,-233.9,884,麦捷科技,20.02,27.76
246,国产航母,2101.44,-0.52,107.65,113.79,-6.14,36,光电股份,5.81,28.22
247,NMN概念,1224.26,-0.53,14.84,15.09,-0.25,25,众生药业,9.99,22.9
248,氢能源,2786.59,-0.53,931.52,1035.03,-103.5,400,金博股份,20.0,59.75
249,超级电容,3832.37,-0.53,321.96,334.37,-12.41,44,黑猫股份,10.0,10.45
250,海南自贸区,1475.42,-0.56,66.28,73.36,-7.08,29,中稀有色,10.0,116.28
251,OLED,3634.28,-0.56,1150.67,1255.57,-104.9,152,华兴源创,10.04,81.09
252,雅下水电概念,1320.91,-0.56,173.43,206.79,-33.36,89,上海机电,10.02,22.4
253,电子竞技,468.921,-0.57,38.55,45.21,-6.66,35,天娱数科,9.96,7.73
254,跨境电商,930.843,-0.57,315.72,335.26,-19.55,337,梦百合,10.1,5.56
255,国资云,1457.96,-0.57,117.16,134.42,-17.26,54,深桑达A,5.94,24.6
256,托育服务,986.784,-0.57,15.14,12.99,2.14,16,拓维信息,3.52,30.54
257,青蒿素,1807.67,-0.59,8.78,10.23,-1.45,10,海正药业,2.07,9.85
258,共同富裕示范区,1514.25,-0.6,229.51,239.49,-9.98,185,中泰股份,12.97,23.95
259,足球概念,1474.9,-0.61,31.81,38.14,-6.33,39,诺瓦星云,4.58,156.73
260,氟化工概念,5864.8,-0.61,351.74,406.35,-54.61,65,和远气体,10.01,67.38
261,中船系,1841.7,-0.61,52.54,54.73,-2.19,20,中船特气,7.15,364.0
262,露营经济,1616.64,-0.61,26.18,28.53,-2.36,55,三特索道,10.03,14.37
263,摘帽,967.196,-0.62,55.52,65.13,-9.6,61,贤丰控股,10.05,4.71
264,冷链物流,1697.06,-0.64,110.87,117.41,-6.54,153,北自科技,10.0,41.03
265,统一大市场,1264.56,-0.64,62.58,72.09,-9.51,119,原尚股份,8.26,41.41
266,互联网金融,5735.73,-0.64,202.01,237.51,-35.49,216,东方国信,20.03,18.7
267,页岩气,2689.14,-0.65,71.29,84.32,-13.03,52,长江材料,10.01,20.56
268,BC电池,1437.22,-0.68,194.97,222.91,-27.93,51,帝科股份,10.43,86.2
269,汽车拆解概念,1644.04,-0.68,41.88,43.43,-1.55,48,华宏科技,5.49,36.1
270,净水概念,1133.25,-0.69,86.28,96.1,-9.82,77,武汉天源,11.72,14.78
271,动力电池回收,951.748,-0.71,373.82,439.74,-65.92,93,ST逸飞,6.96,70.97
272,钠离子电池,1444.03,-0.73,496.93,579.09,-82.15,143,金博股份,20.0,59.75
273,网约车,1384.07,-0.73,19.12,21.73,-2.61,29,富临运业,4.34,10.1
274,民爆概念,1702.2,-0.75,19.07,26.25,-7.18,25,铜冠矿建,3.81,20.14
275,长三角一体化,2021.76,-0.75,508.7,538.57,-29.86,258,新广益,20.0,82.44
276,钙钛矿电池,1310.32,-0.75,464.89,516.14,-51.25,91,帝科股份,10.43,86.2
277,啤酒概念,1468.17,-0.76,18.52,22.72,-4.2,29,亚盛集团,5.25,3.61
278,转基因,1585.7,-0.76,8.01,10.47,-2.45,20,禾元生物,3.13,46.19
279,水利,2453.04,-0.76,452.0,480.07,-28.08,264,碧兴物联,20.0,30.78
280,中韩自贸区,2298.1,-0.77,40.54,37.94,2.61,17,江丰电子,3.19,311.2
281,IP经济(谷子经济),1191.26,-0.8,124.04,134.13,-10.09,196,三特索道,10.03,14.37
282,PVDF概念,1566.4,-0.81,101.61,124.12,-22.51,18,黑猫股份,10.0,10.45
283,粮食概念,772.294,-0.83,30.16,33.53,-3.37,46,亚盛集团,5.25,3.61
284,新型城镇化,1252.31,-0.83,134.06,157.3,-23.24,220,碧兴物联,20.0,30.78
285,中俄贸易概念,1593.77,-0.83,91.72,98.17,-6.45,179,冰轮环境,9.99,40.17
286,固废处理,2220.1,-0.83,115.41,139.15,-23.74,155,武汉天源,11.72,14.78
287,一带一路,2408.84,-0.84,1428.62,1582.52,-153.9,781,高特电子,13.64,41.99
288,碳中和,2002.94,-0.85,397.44,452.38,-54.94,273,东方国信,20.03,18.7
289,黄金概念,3720.0,-0.85,280.31,332.81,-52.5,81,江西铜业,10.01,53.31
290,蚂蚁集团概念,1538.88,-0.85,146.83,161.65,-14.82,81,蓝思科技,8.9,55.77
291,可燃冰,1502.09,-0.86,11.27,15.82,-4.55,14,德石股份,1.84,14.91
292,高铁,3810.67,-0.86,252.29,275.8,-23.51,180,电工合金,10.97,19.01
293,冰雪产业,1284.52,-0.86,25.24,31.54,-6.3,59,三特索道,10.03,14.37
294,体育产业,988.34,-0.87,86.62,98.71,-12.09,133,三特索道,10.03,14.37
295,污水处理,1797.82,-0.87,237.61,254.19,-16.58,228,碧兴物联,20.0,30.78
296,网红经济,1354.56,-0.87,96.66,88.44,8.21,118,昆仑万维,10.97,43.0
297,西部大开发,1813.87,-0.88,1132.69,1262.98,-130.28,633,铂力特,20.0,107.28
